,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
140,ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-Apr-10,10,1,INE363A01022,10,ASIANHOTNR.NS,-52.189
141,ASIANPAINT,Asian Paints Limited,EQ,31-May-95,1,1,INE021A01026,1,ASIANPAINT.NS,32.728
142,ASIANTILES,Asian Granito India Limited,EQ,23-Aug-07,10,1,INE022I01019,10,ASIANTILES.NS,18.57
143,ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-16,10,1,INE991I01015,10,ASPINWALL.NS,6.91
144,ASTEC,Astec LifeSciences Limited,EQ,25-Nov-09,10,1,INE563J01010,10,ASTEC.NS,33.21
145,ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-18,10,1,INE914M01019,10,ASTERDM.NS,2.97
146,ASTRAL,Astral Limited,EQ,20-Mar-07,1,1,INE006I01046,1,ASTRAL.NS,20.13
147,ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-04,2,1,INE386C01029,2,ASTRAMICRO.NS,3.33
148,ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-01,2,1,INE203A01020,2,ASTRAZEN.NS,37.32
149,ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-17,10,1,INE646X01014,10,ASTRON.NS,2.2
150,ATFL,Agro Tech Foods Limited,EQ,06-Dec-02,10,1,INE209A01019,10,ATFL.NS,13.17
151,ATGL,Adani Total Gas Limited,BE,05-Nov-18,1,1,INE399L01023,1,ATGL.NS,4.208
152,ATLANTA,Atlanta  Limited,EQ,25-Sep-06,2,1,INE285H01022,2,ATLANTA.NS,-97.738
153,ATUL,Atul Limited,EQ,06-May-98,10,1,INE100A01010,10,ATUL.NS,221.17
154,ATULAUTO,Atul Auto Limited,EQ,26-Jun-13,5,1,INE951D01028,5,ATULAUTO.NS,0.433
155,AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-17,10,1,INE949L01017,10,AUBANK.NS,37.86
156,AURIONPRO,Aurionpro Solutions Limited,EQ,25-Oct-05,10,1,INE132H01018,10,AURIONPRO.NS,11.487
157,AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-00,1,1,INE406A01037,1,AUROPHARMA.NS,91.04
158,AURUM,AURUM PROPTECH LIMITED,EQ,19-Aug-15,5,1,INE898S01029,5,AURUM.NS,
159,AUSOMENT,Ausom Enterprise Limited,EQ,17-Apr-96,10,1,INE218C01016,10,AUSOMENT.NS,8.819
160,AUTOAXLES,Automotive Axles Limited,EQ,29-May-03,10,1,INE449A01011,10,AUTOAXLES.NS,1.271
161,AUTOIND,Autoline Industries Limited,EQ,31-Jan-07,10,1,INE718H01014,10,AUTOIND.NS,-19.67
162,AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-17,10,1,INE349W01017,10,AVADHSUGAR.NS,38.76
163,AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-15,1,1,INE871C01038,1,AVANTIFEED.NS,26.43
164,AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,1,1,INE488D01021,1,AVTNPL.NS,2.75
165,AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-21,5,1,INE01BK01022,5,AWHCL.NS,16.985
166,AXISBANK,Axis Bank Limited,EQ,16-Nov-98,2,1,INE238A01034,2,AXISBANK.NS,24.13
167,AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-00,5,1,INE555B01013,5,AXISCADES.NS,1.36
168,AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-15,10,1,INE193B01039,10,AYMSYNTEX.NS,2.81
169,BAFNAPH,Bafna Pharmaceuticals Limited,EQ,27-Feb-20,10,1,INE878I01022,10,BAFNAPH.NS,1.186
170,BAGFILMS,B.A.G Films and Media Limited,BE,17-Oct-03,2,1,INE116D01028,2,BAGFILMS.NS,-0.715
