,0
464,5.44
465,32.63
466,3.85
467,-2.37
468,-0.077
469,17.72
470,8.31
471,0.0
472,-24.347
473,31.15
474,7.47
475,23.426
476,39.25
477,8.019
478,-23.98
479,-45.895
480,-20.17
481,1.533
482,-5.37
483,-93.83
484,-1.45
485,24.17
486,-46.66
487,-41.007
488,5.13
489,4.2
490,14.74
491,13.61
492,-6.863
493,80.748
494,6.262
495,3.812
496,21.449
497,19.94
498,0.0
499,-21.38
500,-1.996
501,9.79
502,74.64
503,-18.69
504,-14.311
505,2.3
506,7.96
507,4.87
508,7.367
509,-0.026
510,-8.347
511,0.134
512,2.98
513,4.414
514,10.313
515,62.38
516,
517,-20.17
518,-1.96
519,34.23
520,9.709
521,11.246
522,-17.968
523,100.599
524,5.8
525,12.12
526,15.039
527,59.691
528,21.14
529,34.38
530,-0.13
531,7.733
532,-20.91
533,3.224
534,48.9
535,
536,43.819
537,5.847
538,50.19
539,-4.792
540,32.9
541,44.84
542,-5.26
543,13.11
544,61.533
545,-0.929
546,17.27
547,16.83
548,9.94
549,-7.48
550,-0.07
551,5.83
552,2.043
553,2.195
554,-3.026
555,30.26
556,0.337
557,14.773
558,45.829
559,181.17
560,4.59
561,4.398
562,21.95
563,-5.275
564,65.49
565,
566,7.72
567,-0.81
568,30.56
569,5.61
570,4.97
571,-0.77
572,21.6
573,
574,232.782
575,12.52
576,13.4
577,2.924
578,9.088
579,28.48
580,-0.808
581,12.497
582,-1.0
583,-14.125
584,16.73
585,4.56
586,19.401
587,43.394
588,18.56
589,0.861
590,39.7
591,3.48
592,13.31
593,85.043
594,11.45
595,21.9
596,1.43
597,11.428
598,16.68
599,0.019
600,0.44
601,16.47
602,-3.0
603,-17.02
604,-6.845
605,45.914
606,99.219
607,62.16
608,57.6
609,6.69
610,1.943
611,-4.65
612,13.9
613,-0.26
614,39.41
615,2.43
616,32.32
617,146.04
618,40.79
619,-0.028
620,1.86
621,36.31
622,160.82
623,10.8
624,294.682
625,-13.628
626,-5.42
627,15.65
628,13.35
629,
630,-3.971
631,0.066
632,-25.056
633,3.333
634,70.57
635,34.026
636,18.89
637,3.22
638,6.0
639,18.695
640,9.87
641,-2.563
642,39.41
643,-0.57
644,3.062
645,10.078
646,16.23
647,12.18
648,520.32
649,47.99
650,-0.03
651,0.752
652,-0.246
653,2.253
654,12.71
655,-3.07
656,-17.367
657,7.46
658,11.231
659,0.1
660,27.72
661,
662,3.063
663,26.83
664,32.27
665,6.65
666,10.175
667,84.89
668,1.44
669,-17.014
670,-2.11
671,0.87
672,6.9
673,49.51
674,15.61
675,-3.445
676,18.2
677,8.14
678,15.543
679,61.08
680,20.04
681,6.91
682,41.76
683,-12.228
684,
685,
686,-51.529
687,61.74
688,37.361
689,0.134
690,0.91
691,-6.05
692,7.01
693,25.361
694,94.58
695,27.88
696,-9.755
697,8.67
698,-143.681
699,15.54
700,-39.373
701,17.52
702,10.1
703,4.34
704,-0.22
705,-20.83
706,-7.905
707,-1.336
708,0.242
709,-0.683
710,4.775
711,-3.15
712,-7.9
713,39.96
714,15.728
715,159.34
716,0.52
717,15.34
718,-0.7
719,45.343
720,20.77
721,-32.22
722,-17.779
723,45.43
724,-0.72
725,19.55
726,8.598
727,0.0
728,1.48
729,0.51
730,23.57
731,79.25
732,90.11
733,
734,3.33
735,3.571
736,14.792
737,3.181
738,4.0
739,33.08
740,4.514
741,27.13
742,-21.122
743,10.7
744,-1.518
745,0.92
746,0.1
747,0.253
748,-1.061
749,
750,19.204
751,
752,2.212
753,5.16
754,-12.762
755,5.2
756,-0.389
757,0.0
758,0.911
759,14.239
760,10.713
761,6.06
762,-25.757
763,-1.347
764,51.393
765,-23.64
766,10.42
767,12.2
768,-56.027
769,-0.501
770,-0.073
771,-3.421
772,180.62
773,10.02
774,20.297
775,-206.114
776,1.402
777,-14.922
778,-14.922
779,-65.283
780,90.99
781,8.22
782,34.45
783,11.134
784,12.97
785,4.55
786,-7.298
787,6.32
788,-1.239
789,12.449
790,-2.72
791,-17.37
792,
793,0.248
794,8.48
795,29.4
796,4.851
797,67.96
798,2.12
799,32.71
800,-0.186
801,12.078
802,-6.19
803,-7.954
804,55.4
805,0.458
806,33.0
807,5.419
808,-212.63
809,7.7
810,19.37
811,-3.073
812,34.467
813,0.0
814,-4.84
815,-0.07
816,-7.638
817,5.62
818,0.137
819,3.32
820,13.296
821,9.83
822,6.33
823,3.28
824,-6.346
825,4.5
826,-0.535
827,-1.027
828,-29.1
829,8.694
830,-0.223
831,4.86
832,21.5
833,-7.197
834,-3.55
835,27.294
836,7.33
837,13.598
838,1.62
839,9.73
840,20.25
841,-18.33
842,0.0
843,-11.011
844,-2.443
845,79.23
846,1.104
847,
848,4.39
849,4.872
850,73.798
851,21.82
852,20.29
853,13.48
854,163.99
855,9.567
856,16.07
857,2.995
858,14.49
859,-1.46
860,-5.642
861,11.876
862,50.49
863,2.29
864,3.83
865,-37.487
866,
867,
868,5.19
869,74.88
870,24.24
871,-14.53
872,-3.229
873,7.15
874,0.0
875,
876,36.456
877,52.23
878,43.59
879,15.382
880,-1.146
881,
882,
883,-36.536
884,35.25
885,4.879
886,4.47
887,5.6
888,18.28
889,41.75
890,-0.042
891,-1.584
892,12.24
893,42.51
894,0.04
895,-0.792
896,-3.026
897,54.32
898,17.05
899,31.11
900,-0.794
901,48.697
902,1.01
903,2.21
904,-0.232
905,-2.833
906,0.028
907,0.006
908,82.41
909,110.26
910,62.9
911,19.42
912,6.91
913,26.72
914,66.53
915,2.86
916,-4.07
917,-1.551
918,
919,
920,21.89
921,3.008
922,3.016
923,-120.079
924,-1.642
925,19.22
926,-5.147
927,0.91
928,21.911
929,-1.287
930,8.77
931,0.939
932,1.423
933,-52.22
934,4.16
935,7.71
936,-13.183
937,71.988
938,-3.327
939,-0.48
940,0.89
941,9.1
942,4.05
943,7.198
944,19.017
945,17.67
946,5.66
947,40.83
948,-10.488
949,16.78
950,1.29
951,0.0
952,-11.38
953,3.02
954,3.609
955,9.08
956,1.14
957,5.76
958,145.3
959,26.41
960,0.239
961,81.88
962,17.88
963,-28.38
964,-1.59
965,-3.21
966,-0.213
967,19.86
968,45.46
969,25.48
970,9.24
971,-10.431
972,39.404
973,-0.872
974,5.41
975,2.012
976,-0.785
977,44.25
978,0.0
979,0.417
980,-1.705
981,3.35
982,-1.382
983,-15.749
984,-75.955
985,35.79
986,0.0
987,14.51
988,1.78
989,62.72
990,-0.98
991,7.04
992,2.288
993,7.41
994,4.23
995,67.41
996,0.08
997,0.525
998,0.232
999,19.35
1000,5.17
1001,-2.904
1002,-4.16
1003,6.91
1004,0.49
1005,-14.312
1006,7.44
1007,3.684
1008,
1009,2.746
1010,16.14
1011,31.98
1012,-16.577
1013,2.15
1014,3.29
1015,82.71
1016,-1.561
1017,64.43
1018,29.818
1019,3011.14
1020,-5.285
1021,-3.24
1022,0.13
1023,5.939
1024,16.99
1025,-8.075
1026,-39.41
1027,-14.41
1028,-5.47
1029,0.143
1030,7.676
1031,-4.768
1032,31.29
1033,90.033
1034,2.63
1035,-8.873
1036,-22.468
1037,-10.801
1038,36.41
1039,-2.2
1040,7.633
1041,11.33
1042,10.9
1043,24.16
1044,29.545
1045,2.503
1046,110.72
1047,91.888
1048,1.06
1049,2.44
1050,0.18
1051,1.209
1052,6.57
1053,26.0
1054,4.39
1055,27.442
1056,
1057,-8.668
1058,14.35
1059,8.184
1060,1.27
1061,-1.107
1062,1.04
1063,5.417
1064,13.45
1065,24.48
1066,223.945
1067,0.31
1068,62.846
1069,18.1
1070,-3.21
1071,4.83
1072,
1073,-3.47
1074,3.24
1075,9.95
1076,1.64
1077,9.96
1078,-0.02
1079,-0.101
1080,75.68
1081,21.154
1082,0.718
1083,0.0
1084,-18.97
1085,-5.721
1086,12.25
1087,2.352
1088,-3.76
1089,7.822
1090,20.701
1091,4.393
1092,-1.99
1093,0.221
1094,8.46
1095,33.63
1096,2.439
1097,73.465
1098,-18.541
1099,14.87
1100,40.62
1101,62.04
1102,
1103,-11.92
1104,30.29
1105,20.33
1106,79.08
1107,203.99
1108,26.698
1109,-13.389
1110,1.895
1111,-12.878
1112,-19.72
1113,2.94
1114,-2.932
1115,0.073
1116,-14.413
1117,0.72
1118,4.41
1119,4.35
1120,-6.082
1121,-4.275
1122,1.412
1123,-20.125
1124,-0.12
1125,0.95
1126,0.104
1127,4.492
1128,10.45
1129,5.63
1130,-3.99
1131,-3.946
1132,-2.15
1133,-125.421
1134,-6.703
1135,5.67
1136,1.872
1137,-0.109
1138,305.35
1139,13.54
1140,-12.83
1141,1.72
1142,-24.107
1143,2.21
1144,22.37
1145,
1146,
1147,1.24
1148,2.46
1149,
1150,-8.756
1151,0.0
1152,-5.478
1153,0.03
1154,-9.608
1155,2.032
1156,1.53
1157,3.16
1158,32.37
1159,-5.972
1160,55.68
1161,-2.086
1162,-9.327
1163,58.97
1164,19.59
1165,44.5
1166,108.77
1167,-0.282
1168,0.4
1169,-0.896
1170,207.024
1171,113.469
1172,7.97
1173,18.199
1174,2.102
1175,22.24
1176,49.89
1177,101.331
1178,0.158
1179,-74.73
1180,7.06
1181,8.97
1182,36.83
1183,14.37
1184,2.64
1185,31.518
1186,55.26
1187,-1.018
1188,17.03
1189,-3.1
1190,18.2
1191,9.12
1192,54.427
1193,15.24
1194,129.452
1195,29.84
1196,0.0
1197,23.01
1198,25.976
1199,-33.936
1200,0.652
1201,16.41
1202,-1.786
1203,4.42
1204,5.27
1205,-0.149
1206,-41.726
1207,0.24
1208,2.582
1209,12.94
1210,-14.668
1211,-29.007
1212,2.727
1213,2.246
1214,36.32
1215,3.81
1216,1.287
1217,20.15
1218,0.0
1219,29.93
1220,-0.444
1221,-1.715
1222,3.4
1223,-35.71
1224,20.525
1225,14.377
1226,10.58
1227,40.03
1228,-2.05
1229,-0.554
1230,-4.087
1231,-135.64
1232,3.87
1233,16.65
1234,-1.702
1235,20.74
1236,-0.7
1237,4.296
1238,19.554
1239,27.928
1240,4.12
1241,52.32
1242,-14.231
1243,-1.421
1244,11.75
1245,-5.22
1246,6.52
1247,34.0
1248,33.38
1249,18.2
1250,2.83
1251,10.27
1252,-9.06
1253,-20.457
1254,59.07
1255,-63.814
1256,40.45
1257,9.68
1258,6.8
1259,-21.215
1260,42.423
1261,19.4
1262,14.618
1263,9.7
1264,-369.82
1265,75.207
1266,-32.133
1267,-20.24
1268,4.419
1269,-1.088
1270,46.507
1271,5.107
1272,-29.777
1273,1.54
1274,35.233
1275,24.774
1276,-31.33
1277,
1278,-2.131
1279,6.39
1280,17.54
1281,-2.647
1282,10.76
1283,6.44
1284,-4.913
1285,-41.97
1286,-26.782
1287,-59.582
1288,-11.84
1289,
1290,-1.207
1291,-180.501
1292,0.0
1293,15.47
1294,10.069
1295,24.23
1296,24.19
1297,0.815
1298,6.554
1299,-36.09
1300,-7.8
1301,8.84
1302,8.141
1303,0.0
1304,-1.88
1305,9.033
1306,10.994
1307,-0.426
1308,2.06
1309,22.04
1310,4.7
1311,
1312,4.099
1313,
1314,
1315,42.382
1316,30.329
1317,-9.34
1318,-0.583
1319,60.384
1320,8.023
1321,6.87
1322,-14.9
1323,42.52
1324,0.516
1325,22.15
1326,7.682
1327,-0.555
1328,12.84
1329,0.0
1330,0.28
1331,130.688
1332,9.61
1333,1.04
1334,3.11
1335,-5.18
1336,0.351
1337,233.647
1338,0.0
1339,-16.57
1340,104.0
1341,52.668
1342,2.28
1343,76.26
1344,-4.438
1345,4.95
1346,-7.29
1347,
1348,10.38
1349,14.55
1350,25.105
1351,-0.212
1352,112.588
1353,-12.203
1354,-0.654
1355,15.48
1356,-5.86
1357,38.85
1358,-40.871
1359,1.232
1360,0.0
1361,-1.8
1362,3.899
1363,-0.633
1364,17.66
1365,-5.247
1366,-3.479
1367,-32.732
1368,43.627
1369,0.0
1370,8.472
1371,-21.765
1372,41.12
1373,3.92
1374,-8.043
1375,6.06
1376,
1377,2.63
1378,25.4
1379,14.312
1380,19.389
1381,-13.841
1382,7.59
1383,18.13
1384,-2.25
1385,4.118
1386,6.388
1387,10.48
1388,-28.38
1389,1.596
1390,3.66
1391,633.54
1392,9.25
1393,1.944
1394,-0.02
1395,1.661
1396,-28.873
1397,39.67
1398,160.76
1399,-2.203
1400,
1401,0.0
1402,-1.41
1403,-10.921
1404,26.872
1405,2.648
1406,2.415
1407,-3.239
1408,2.32
1409,35.28
1410,-2.121
1411,-3.049
1412,-116.635
1413,-1.94
1414,-24.519
1415,6.05
1416,24.73
1417,-2.371
1418,0.76
1419,3.614
1420,60.2
1421,-82.962
1422,2.09
1423,6.19
1424,2.06
1425,8.85
1426,-79.747
1427,44.84
1428,7.39
1429,0.004
1430,6.57
1431,57.034
1432,30.54
1433,13.62
1434,-4.833
1435,2.531
1436,0.0
1437,23.48
1438,6.14
1439,106.63
1440,0.34
1441,3.66
1442,16.8
1443,22.47
1444,-5.77
1445,-15.912
1446,-18.97
1447,-5.332
1448,3.275
1449,-26.453
1450,4.67
1451,-18.575
1452,-22.314
1453,4.925
1454,-76.639
1455,205.54
1456,33.987
1457,22.2
1458,0.39
1459,101.44
1460,31.52
1461,2.054
1462,4.54
1463,11.204
1464,-4.828
1465,7.0
1466,18.27
1467,5.823
1468,6.53
1469,6.85
1470,26.33
1471,0.0
1472,-17.151
1473,0.94
1474,5.787
1475,20.4
1476,-12.038
1477,6.92
1478,-6.832
1479,16.79
1480,159.98
1481,-0.229
1482,98.116
1483,4.89
1484,15.25
1485,12.989
1486,5.795
1487,12.1
1488,3.679
1489,38.7
1490,23.14
1491,-2.32
1492,50.63
1493,6.303
1494,0.727
1495,77.003
1496,-337.256
1497,0.04
1498,
1499,-1.692
1500,23.82
1501,1.31
1502,-2.765
1503,57.889
1504,-5.67
1505,14.23
1506,0.003
1507,-0.975
1508,0.0
1509,-0.769
1510,76.2
1511,17.18
1512,12.071
1513,15.35
1514,10.11
1515,-0.35
1516,-4.699
1517,-37.037
1518,31.7
1519,25.27
1520,107.28
1521,-11.873
1522,0.0
1523,6.28
1524,153.32
1525,10.063
1526,7.155
1527,43.882
1528,9.296
1529,59.11
1530,30.433
1531,69.61
1532,-41.11
1533,-41.11
1534,3.169
1535,-6.492
1536,6.57
1537,126.83
1538,
1539,6.48
1540,19.07
1541,5.35
1542,26.15
1543,-40.644
1544,-13.333
1545,36.36
1546,86.709
1547,14.61
1548,45.33
1549,-13.114
1550,50.19
1551,13.635
1552,3.99
1553,2.85
1554,0.67
1555,0.87
1556,2.483
1557,-4.805
1558,9.258
1559,-2.487
1560,-2.116
1561,59.338
1562,0.904
1563,38.84
1564,12.277
1565,-6.83
1566,-2.928
1567,21.37
1568,-3.07
1569,415.8
1570,45.704
1571,15.1
1572,-4.04
1573,-68.27
1574,7.29
1575,3.938
1576,19.03
1577,9.38
1578,32.72
1579,11.49
1580,0.36
1581,10.96
1582,-12.254
1583,7.734
1584,-8.572
1585,-2.702
1586,-0.17
1587,73.98
1588,12.88
1589,-2.576
1590,-0.916
1591,0.0
1592,0.0
1593,-8.083
1594,9.39
1595,-4.11
1596,-84.61
1597,0.539
1598,20.11
1599,0.53
1600,2.876
1601,14.063
1602,32.87
1603,115.68
1604,-2.614
1605,-10.214
1606,2.66
1607,-5.789
1608,12.51
1609,96.54
1610,20.629
1611,-15.16
1612,-1.28
1613,4.28
1614,9.844
1615,0.17
1616,93.985
1617,-30.084
1618,1.52
1619,0.0
1620,0.597
1621,-16.34
1622,0.05
1623,189.33
1624,1.86
1625,0.01
1626,4.88
1627,18.048
1628,3.52
1629,4.47
1630,-5.942
1631,24.51
1632,2.882
1633,12.044
1634,56.183
1635,31.735
1636,0.017
1637,4.91
1638,38.97
1639,-46.314
1640,15.67
1641,-4.322
1642,-36.1
1643,16.318
1644,0.99
1645,0.59
1646,40.97
1647,5.34
1648,47.584
1649,-46.75
1650,-2.27
1651,3.28
1652,9.318
1653,31.13
1654,66.098
1655,50.04
1656,6.84
1657,24.89
1658,6.263
1659,4.65
1660,405.8
1661,-6.323
1662,7.33
1663,0.0
1664,
1665,-0.359
1666,0.021
1667,0.077
1668,0.575
1669,9.68
1670,26.2
1671,170.486
1672,
1673,6.19
1674,-1.694
1675,-5.958
1676,-5.725
1677,67.63
1678,-14.383
1679,2.75
1680,28.875
1681,2.11
1682,0.017
1683,-13.412
1684,51.429
1685,-3.37
1686,91.62
1687,13.481
1688,4.99
1689,5.272
1690,201.27
1691,105.064
1692,54.902
1693,18.83
1694,54.73
1695,-16.79
1696,23.501
1697,1.43
1698,12.083
1699,19.3
1700,3.459
1701,20.376
1702,8.6
1703,2.17
1704,5.37
1705,63.83
1706,-6.38
1707,0.76
1708,27.73
1709,-33.559
1710,
1711,-4.21
1712,-0.573
1713,19.07
1714,61.95
1715,-8.83
1716,10.15
1717,6.345
1718,5.6
1719,2.97
1720,7.07
1721,-10.58
1722,-1.65
1723,
1724,8.33
1725,-0.367
1726,1.617
1727,-1.412
1728,-3.167
1729,13.18
1730,0.39
1731,-13.736
1732,
1733,0.496
1734,-37.35
1735,-81.718
1736,19.55
